year,sex,nus,ntu,smu,sit,sutd,suss,nie,singapore_polytechnic,ngee_ann_polytechnic,temasek_polytechnic,nanyang_polytechnic,republic_polytechnic,lasalle_diploma,lasalle_degree,nafa_diploma,nafa_degree,ite
1982,F,2024,57,,,,,739,429,498,,,,,,,,1336
1982,M,1913,525,,,,,149,1666,1116,,,,,,,,7287
1982,MF,3937,582,,,,,888,2095,1614,,,,,,,,8623
1983,F,2478,63,,,,,502,550,892,,,,,,,,1985
1983,M,1683,639,,,,,176,2047,1358,,,,,,,,6896
1983,MF,4161,702,,,,,678,2597,2250,,,,,,,,8881
1984,F,2217,110,,,,,459,776,1139,,,,,,,,2115
1984,M,2224,580,,,,,136,2217,2266,,,,,,,,4311
1984,MF,4441,690,,,,,595,2993,3405,,,,,,,,6426
1985,F,2308,82,,,,,743,767,1476,,,,,,,,3265
1985,M,2346,626,,,,,202,2254,2436,,,,,,,,8626
1985,MF,4654,708,,,,,945,3021,3912,,,,,,,,11891
1986,F,2581,114,,,,,864,703,1461,,,,,,,,3811
1986,M,2316,682,,,,,195,2169,2293,,,,,,,,7360
1986,MF,4897,796,,,,,1059,2872,3754,,,,,,,,11171
1987,F,2326,556,,,,,706,1121,1607,,,,,,,,4599
1987,M,2160,867,,,,,176,2598,2296,,,,,,,,8798
1987,MF,4486,1423,,,,,882,3719,3903,,,,,,,,13397
1988,F,2691,666,,,,,581,1163,1436,,,,,,,,4306
1988,M,2646,949,,,,,178,2349,2262,,,,,,,,8203
1988,MF,5337,1615,,,,,759,3512,3698,,,,,,,,12509
1989,F,2589,733,,,,,793,1388,1852,,,,,,,,3675
1989,M,2470,595,,,,,281,2556,2569,,,,,,,,6307
1989,MF,5059,1328,,,,,1074,3944,4421,,,,,,,,9982
1990,F,2430,1046,,,,,895,1553,1902,552.0,,,,,,,3352
1990,M,2623,829,,,,,290,2783,2551,183.0,,,,,,,5869
1990,MF,5053,1875,,,,,1185,4336,4453,735.0,,,,,,,9221
1991,F,2319,1131,,,,,969,1763,2026,542.0,,,,,,,3342
1991,M,1985,1504,,,,,267,2814,2482,331.0,,,,,,,5627
1991,MF,4304,2635,,,,,1236,4577,4508,873.0,,,,,,,8969
1992,F,2588,1194,,,,,753,1963,2040,598.0,580.0,,,,,,3227
1992,M,1953,1810,,,,,295,2948,2791,359.0,119.0,,,,,,5516
1992,MF,4541,3004,,,,,1048,4911,4831,957.0,699.0,,,,,,8743
1993,F,2595,1350,,,,,1018,1846,1880,826.0,1234.0,,,,,,2813
1993,M,2121,1947,,,,,329,2877,2654,688.0,1108.0,,,,,,5382
1993,MF,4716,3297,,,,,1347,4723,4534,1514.0,2342.0,,,,,,8195
1994,F,2697,1458,,,,,706,1872,2158,910.0,1441.0,,,,,,1975
1994,M,2318,1967,,,,,291,3011,2774,776.0,1140.0,,,,,,3831
1994,MF,5015,3425,,,,,997,4883,4932,1686.0,2581.0,,,,,,5806
1995,F,2929,1651,,,,,735,1749,2153,1513.0,1588.0,,,,,,1617
1995,M,2147,1874,,,,,289,3071,3057,1131.0,1145.0,,,,,,3272
1995,MF,5076,3525,,,,,1024,4820,5210,2644.0,2733.0,,,,,,4889
1996,F,3102,1542,,,,,1201,1737,2120,1880.0,1550.0,,,,,,1507
1996,M,2087,2198,,,,,458,2847,2673,1853.0,1211.0,,,,,,3428
1996,MF,5189,3740,,,,,1659,4584,4793,3733.0,2761.0,,,,,,4935
1997,F,3059,1704,,,,,1111,1796,2135,2059.0,1717.0,,,,,,1482
1997,M,2351,2136,,,,,501,2779,2774,1858.0,1366.0,,,,,,3822
1997,MF,5410,3840,,,,,1612,4575,4909,3917.0,3083.0,,,,,,5304
1998,F,3165,1705,,,,,1155,1854,1916,2346.0,1997.0,,,,,,3495
1998,M,2576,2314,,,,,458,2722,2635,2081.0,1622.0,,,,,,7642
1998,MF,5741,4019,,,,,1613,4576,4551,4427.0,3619.0,,,,,,11137
1999,F,3545,1817,,,,,1840,1766,2269,2182.0,2031.0,,,,,,3353
1999,M,2827,2428,,,,,788,2674,2562,2101.0,1892.0,,,,,,7108
1999,MF,6372,4245,,,,,2628,4440,4831,4283.0,3923.0,,,,,,10461
2000,F,3437,2113,212.0,,,,1564,1843,2236,2244.0,1985.0,,,,,,3248
2000,M,2984,2393,93.0,,,,622,2603,2437,2275.0,1896.0,,,,,,6524
2000,MF,6421,4506,305.0,,,,2186,4446,4673,4519.0,3881.0,,,,,,9772
2001,F,3534,1944,376.0,,,,1523,1983,2205,2129.0,2239.0,,,,,,3297
2001,M,2945,2212,133.0,,,,579,2864,2483,2199.0,2011.0,,,,,,7016
2001,MF,6479,4156,509.0,,,,2102,4847,4688,4328.0,4250.0,,,,,,10313
2002,F,3252,2066,408.0,,,,1664,1921,2232,2156.0,2538.0,,,,,,3617
2002,M,2767,2345,199.0,,,,688,2962,2295,2027.0,2103.0,,,,,,7011
2002,MF,6019,4411,607.0,,,,2352,4883,4527,4183.0,4641.0,,,,,,10628
2003,F,3413,1854,512.0,,,,1171,1678,2109,1936.0,2594.0,377.0,,,,,3732
2003,M,2832,2496,312.0,,,,521,2669,2249,1942.0,1996.0,444.0,,,,,6834
2003,MF,6245,4350,824.0,,,,1692,4347,4358,3878.0,4590.0,821.0,,,,,10566
2004,F,2955,2555,712.0,,,,1085,1676,2057,2043.0,2811.0,517.0,,,,,4222
2004,M,2767,2822,383.0,,,,498,2734,2386,2097.0,2209.0,617.0,,,,,7428
2004,MF,5722,5377,1095.0,,,,1583,4410,4443,4140.0,5020.0,1134.0,,,,,11650
2005,F,3122,2663,586.0,,,,1492,1725,2363,2510.0,2590.0,948.0,400.0,,534.0,,5139
2005,M,2973,2543,621.0,,,,716,2820,2438,2265.0,2403.0,844.0,278.0,,292.0,,8566
2005,MF,6095,5206,1207.0,,,,2208,4545,4801,4775.0,4993.0,1792.0,678.0,,826.0,,13705
2006,F,3618,2735,640.0,,,,1292,1719,2336,2448.0,2511.0,1380.0,603.0,,509.0,,5035
2006,M,3013,3011,716.0,,,,592,3027,2613,2561.0,2441.0,1240.0,405.0,,264.0,,8610
2006,MF,6631,5746,1356.0,,,,1884,4746,4949,5009.0,4952.0,2620.0,1008.0,,773.0,,13645
2007,F,3710,3201,896.0,,,,1292,1804,2355,2399.0,2683.0,1947.0,540.0,,495.0,,5064
2007,M,2844,2995,707.0,,,,560,3202,2462,2434.0,2282.0,1794.0,250.0,,218.0,,8903
2007,MF,6554,6196,1603.0,,,,1852,5006,4817,4833.0,4965.0,3741.0,790.0,,713.0,,13967
2008,F,3389,3039,952.0,,,,1158,2069,2578,2489.0,2700.0,2117.0,460.0,,578.0,,5318
2008,M,3043,2994,718.0,,,,544,3124,2700,2534.0,2579.0,1948.0,268.0,,274.0,,8887
2008,MF,6432,6033,1670.0,,,,1702,5193,5278,5023.0,5279.0,4065.0,728.0,,852.0,,14205
2009,F,3426,3379,889.0,,,,1390,2152,2572,2545.0,2782.0,2447.0,455.0,,538.0,,5314
2009,M,3349,3340,881.0,,,,613,3137,2728,2535.0,2556.0,2170.0,272.0,,259.0,,8391
2009,MF,6775,6719,1770.0,,,,2003,5289,5300,5080.0,5338.0,4617.0,727.0,,797.0,,13705
2010,F,3405,2951,823.0,275.0,,,1327,2260,2573,2604.0,2933.0,2292.0,530.0,,559.0,,5248
2010,M,3163,3181,863.0,248.0,,,612,3169,2814,2463.0,2549.0,2050.0,265.0,,276.0,,8638
2010,MF,6568,6132,1686.0,523.0,,,1939,5429,5387,5067.0,5482.0,4342.0,795.0,,835.0,,13886
2011,F,3566,3026,869.0,472.0,,,1258,2115,2643,2666.0,2797.0,2580.0,341.0,,508.0,9.0,5484
2011,M,3158,3151,860.0,464.0,,,569,3233,2823,2711.0,2741.0,2428.0,239.0,,208.0,11.0,8614
2011,MF,6724,6177,1729.0,936.0,,,1827,5348,5466,5377.0,5538.0,5008.0,580.0,,716.0,20.0,14098
2012,F,3545,3028,1121.0,597.0,149.0,,1198,2094,2682,2652.0,2615.0,2834.0,312.0,278.0,530.0,13.0,5144
2012,M,3188,2877,809.0,707.0,178.0,,584,3313,2879,2718.0,2501.0,2466.0,183.0,120.0,227.0,12.0,8762
2012,MF,6733,5905,1930.0,1304.0,327.0,,1782,5407,5561,5370.0,5116.0,5300.0,495.0,398.0,757.0,25.0,13906
2013,F,3685,3537,983.0,627.0,103.0,,946,2071,2620,2630.0,2915.0,2706.0,289.0,282.0,454.0,12.0,5459
2013,M,3207,3123,941.0,883.0,162.0,,478,3293,2867,2740.0,2689.0,2348.0,167.0,140.0,192.0,14.0,8973
2013,MF,6892,6660,1924.0,1510.0,265.0,,1424,5364,5487,5370.0,5604.0,5054.0,456.0,422.0,646.0,26.0,14432
2014,F,3857,3153,908.0,813.0,125.0,145.0,1097,2092,2512,2654.0,2756.0,2523.0,285.0,306.0,532.0,19.0,5574
2014,M,3251,3327,1004.0,1023.0,192.0,72.0,526,3220,2633,2616.0,2593.0,2178.0,142.0,141.0,189.0,8.0,9067
2014,MF,7108,6480,1912.0,1836.0,317.0,217.0,1623,5312,5145,5270.0,5349.0,4701.0,427.0,447.0,721.0,27.0,14641
2015,F,3720,3140,1062.0,907.0,167.0,196.0,831,1928,2383,2389.0,2582.0,2493.0,263.0,359.0,563.0,21.0,5204
2015,M,3215,3385,882.0,1169.0,195.0,88.0,400,2886,2489,2411.0,2377.0,2313.0,161.0,143.0,256.0,12.0,8969
2015,MF,6935,6525,1944.0,2076.0,362.0,284.0,1231,4814,4872,4800.0,4959.0,4806.0,424.0,502.0,819.0,33.0,14173
2016,F,3680,2964,1052.0,1196.0,172.0,286.0,884,1828,2374,2156.0,2388.0,2272.0,240.0,368.0,699.0,10.0,5635
2016,M,3331,3174,909.0,1363.0,288.0,137.0,372,2909,2354,2485.0,2378.0,1977.0,148.0,142.0,243.0,6.0,9128
2016,MF,7011,6138,1961.0,2559.0,460.0,423.0,1256,4737,4728,4641.0,4766.0,4249.0,388.0,510.0,942.0,16.0,14763
2017,F,3468,2867,1103.0,1066.0,151.0,418.0,404,1955,2578,2323.0,2437.0,2243.0,334.0,391.0,657.0,14.0,5915
2017,M,3653,3088,901.0,1523.0,273.0,157.0,165,3003,2308,2577.0,2483.0,2157.0,184.0,140.0,264.0,9.0,9591
2017,MF,7121,5955,2004.0,2589.0,424.0,575.0,569,4958,4886,4900.0,4920.0,4400.0,518.0,531.0,921.0,23.0,15506
2018,F,4139,2889,1230.0,1072.0,155.0,516.0,379,1869,2576,2281.0,2461.0,2207.0,322.0,349.0,608.0,14.0,5629
2018,M,3717,3271,931.0,1588.0,282.0,251.0,177,2952,2298,2580.0,2459.0,2186.0,153.0,138.0,257.0,9.0,9190
2018,MF,7856,6160,2161.0,2660.0,437.0,767.0,556,4821,4874,4861.0,4920.0,4393.0,475.0,487.0,865.0,23.0,14819
2019,F,4140,3155,1387.0,1127.0,158.0,512.0,367,1800,2376,2177.0,2287.0,1959.0,293.0,325.0,598.0,19.0,5908
2019,M,3707,3327,978.0,1591.0,257.0,374.0,148,2816,2116,2359.0,2269.0,1912.0,152.0,123.0,217.0,9.0,9239
2019,MF,7847,6482,2365.0,2718.0,415.0,886.0,515,4616,4492,4536.0,4556.0,3871.0,445.0,448.0,815.0,28.0,15147
2020,F,3513,3284,1484.0,1292.0,186.0,625.0,377,1656,2293,1945.0,2199.0,1919.0,270.0,324.0,562.0,10.0,5716
2020,M,3973,3409,945.0,1602.0,289.0,374.0,153,2614,1908,2329.0,2130.0,2021.0,145.0,111.0,227.0,7.0,8945
2020,MF,7486,6693,2429.0,2894.0,475.0,999.0,530,4270,4201,4274.0,4329.0,3940.0,415.0,435.0,789.0,17.0,14661
2021,F,3922,2822,1333.0,1231.0,165.0,714.0,292,1583,2215,1935.0,2123.0,1874.0,262.0,333.0,490.0,166.0,5905
2021,M,3959,3661,1103.0,1721.0,303.0,373.0,175,2521,1873,2275.0,2100.0,1987.0,151.0,116.0,196.0,52.0,8833
2021,MF,7881,6483,2436.0,2952.0,468.0,1087.0,467,4104,4088,4210.0,4223.0,3861.0,413.0,449.0,686.0,218.0,14738
2022,F,3666,2727,1170.0,1272.0,133.0,586.0,361,1631,2174,2020.0,2061.0,1840.0,277.0,301.0,537.0,175.0,5814
2022,M,3607,3457,1210.0,1849.0,272.0,400.0,166,2550,1893,2158.0,2060.0,2074.0,133.0,105.0,174.0,48.0,8763
2022,MF,7273,6184,2380.0,3121.0,405.0,986.0,527,4181,4067,4178.0,4121.0,3914.0,410.0,406.0,711.0,223.0,14577
2023,F,3555,3062,1511.0,1367.0,218.0,589.0,866,1835,2253,2101.0,2104.0,1845.0,277.0,353.0,596.0,196.0,5729
2023,M,3915,3386,1061.0,1961.0,323.0,422.0,338,2550,1976,2171.0,2137.0,2057.0,138.0,114.0,204.0,41.0,8676
2023,MF,7470,6448,2572.0,3328.0,541.0,1011.0,1204,4385,4229,4272.0,4241.0,3902.0,415.0,467.0,800.0,237.0,14405
2024,F,3430,3181,1273.0,1380.0,170.0,706.0,1033,1683,2279,2133.0,2122.0,1867.0,276.0,362.0,590.0,203.0,5589
2024,M,3878,3320,1107.0,2001.0,324.0,411.0,434,2396,1883,2093.0,2048.0,2161.0,143.0,87.0,221.0,68.0,7884
2024,MF,7308,6501,2380.0,3381.0,494.0,1117.0,1467,4079,4162,4226.0,4170.0,4028.0,419.0,449.0,811.0,271.0,13473
